trigger_index,trigger_time,price,price_delta,volatility,prediction,actual_digit,correct
1114,1786203428,604.44,-0.17999999999994998,0.13513778976370683,3,0,False
1121,1786203442,604.41,-0.13999999999998636,0.1440254607120793,3,1,False
1138,1786203476,603.53,-0.2799999999999727,0.14014278433082675,3,8,False
1140,1786203480,603.48,-0.10000000000002274,0.10956479564369455,3,7,False
1148,1786203496,604.02,-0.19000000000005457,0.11957796155181757,3,4,False
1150,1786203500,603.84,-0.1999999999999318,0.13647954669715662,3,7,False
1153,1786203506,603.83,-0.15999999999996817,0.1419076381939114,3,2,False
1171,1786203542,604.29,-0.16000000000008185,0.10687999501000381,3,3,True
1211,1786203622,604.95,-0.12999999999999545,0.14151953143571208,3,1,False
1225,1786203650,605.73,-0.17999999999994998,0.11390054140928967,3,0,False
1240,1786203680,605.67,-0.13999999999998636,0.13393198937434972,3,4,False
1243,1786203686,605.72,-0.12000000000000455,0.14087425440995424,3,2,False
1247,1786203694,605.57,-0.13999999999998636,0.134581656336336,3,3,True
1261,1786203722,605.5,-0.11000000000001364,0.13742068419435763,3,6,False
1268,1786203736,604.76,-0.2300000000000182,0.14166078419156772,3,3,True
1278,1786203756,604.51,-0.12000000000000455,0.13898441159593805,3,1,False
1279,1786203758,604.41,-0.10000000000002274,0.14101221381301418,3,9,False
1280,1786203760,604.29,-0.12000000000000455,0.12560962454279476,3,9,False
1283,1786203766,604.05,-0.19000000000005457,0.07472170590488583,3,0,False
1285,1786203770,603.5,-0.5,0.14425671561491338,3,3,True
1287,1786203774,603.29,-0.13999999999998636,0.13937957765278255,3,5,False
1313,1786203826,602.24,-0.13999999999998636,0.11806307165615534,3,9,False
1316,1786203832,602.15,-0.11000000000001364,0.10104454463253743,3,0,False
1356,1786203912,600.68,-0.14000000000010004,0.13163923764931973,3,0,False
1360,1786203920,600.43,-0.11000000000001364,0.08733078876700542,3,1,False
1375,1786203950,601.04,-0.12000000000000455,0.13072447700749082,3,0,False
1376,1786203952,600.9,-0.13999999999998636,0.1283051917196495,3,5,False
1391,1786203982,600.86,-0.25,0.13737216279549444,3,0,False
1406,1786204012,600.21,-0.12000000000000455,0.11820885471627032,3,5,False
1410,1786204020,600.08,-0.17999999999994998,0.07717224601857013,3,9,False
1416,1786204032,599.94,-0.14999999999997726,0.11215564581814998,3,6,False
1421,1786204042,599.91,-0.13999999999998636,0.14257941257028584,3,0,False
1438,1786204076,599.53,-0.2400000000000091,0.12799739580685696,3,9,False
1451,1786204102,599.93,-0.11000000000001364,0.12384578223654862,3,3,True
1472,1786204144,599.66,-0.17000000000007276,0.12211106056009825,3,1,False
1483,1786204166,599.61,-0.22000000000002728,0.1380016102965692,3,9,False
1487,1786204174,599.41,-0.18000000000006366,0.11429007928176321,3,0,False
1498,1786204196,599.93,-0.22000000000002728,0.1426767909180174,3,0,False
1525,1786204250,599.75,-0.21000000000003638,0.13984515246038778,3,9,False
1552,1786204304,601.52,-0.22000000000002728,0.12903057346570332,3,8,False
1569,1786204338,601.05,-0.15000000000009095,0.10668749796588657,3,0,False
1576,1786204352,600.92,-0.2599999999999909,0.1262317093461165,3,8,False
1583,1786204366,600.62,-0.12000000000000455,0.09312476696466185,3,4,False
1584,1786204368,600.24,-0.37999999999999545,0.13589620221984944,3,8,False
1595,1786204390,600.26,-0.14999999999997726,0.12154560186747415,3,1,False
1599,1786204398,600.39,-0.13999999999998636,0.12174654911831582,3,5,False
1600,1786204400,600.25,-0.13999999999998636,0.11508933728001733,3,6,False
1601,1786204402,599.96,-0.2899999999999636,0.14487159065107877,3,3,True
1602,1786204404,599.83,-0.12999999999999545,0.14523926619355004,3,7,False
1624,1786204448,599.96,-0.1999999999999318,0.12882373832315683,3,3,True
1627,1786204454,599.88,-0.14999999999997726,0.11905180945005556,3,7,False
1628,1786204456,599.77,-0.11000000000001364,0.1222020185321499,3,6,False
1631,1786204462,599.73,-0.22000000000002728,0.13148721948877573,3,9,False
1634,1786204468,599.7,-0.16999999999995907,0.13259797216482136,3,4,False
1638,1786204476,599.6,-0.18999999999994088,0.14360826345767838,3,7,False
1648,1786204496,599.73,-0.17999999999994998,0.10198583779677219,3,6,False
1651,1786204502,599.74,-0.22000000000002728,0.11824644697504792,3,6,False
1671,1786204542,600.4,-0.2799999999999727,0.14032106042930065,3,0,False
1698,1786204596,600.45,-0.16999999999995907,0.1408545348932699,3,6,False
1735,1786204670,599.98,-0.11000000000001364,0.10163114133418011,3,2,False
1737,1786204674,599.59,-0.32999999999992724,0.11804424782444735,3,7,False
1739,1786204678,599.47,-0.10000000000002274,0.11905180945003976,3,8,False
1742,1786204684,599.53,-0.11000000000001364,0.1375338342210734,3,0,False
1743,1786204686,599.3,-0.2300000000000182,0.13353734392377797,3,1,False
1744,1786204688,599.11,-0.18999999999994088,0.13571211359997,3,3,True
1756,1786204712,599.59,-0.16999999999995907,0.13810221657243374,3,4,False
1768,1786204736,599.62,-0.18999999999994088,0.12272824541330564,3,5,False
1770,1786204740,599.64,-0.11000000000001364,0.11376877134492572,3,8,False
1776,1786204752,599.52,-0.10000000000002274,0.10646334789233294,3,9,False
1781,1786204762,599.48,-0.12999999999999545,0.11085526098877993,3,3,True
1788,1786204776,599.54,-0.12999999999999545,0.1267587384671221,3,3,True
1803,1786204806,599.59,-0.12999999999999545,0.1401943096007985,3,7,False
1805,1786204810,599.42,-0.15000000000009095,0.11933147112142183,3,7,False
1806,1786204812,599.27,-0.14999999999997726,0.08854377448471268,3,7,False
1807,1786204814,599.17,-0.10000000000002274,0.06912950809091262,3,3,True
1813,1786204826,599.45,-0.14999999999997726,0.11625642156697474,3,9,False
1815,1786204830,599.28,-0.11000000000001364,0.11276327219248437,3,4,False
1820,1786204840,599.13,-0.12000000000000455,0.09538809615927622,3,4,False
1822,1786204844,599.01,-0.12999999999999545,0.07781031065639796,3,9,False
1823,1786204846,598.79,-0.22000000000002728,0.08921883209279316,3,6,False
1824,1786204848,598.46,-0.32999999999992724,0.1220245876862451,3,8,False
1825,1786204850,598.28,-0.18000000000006366,0.12507775359528864,3,4,False
1826,1786204852,598.14,-0.13999999999998636,0.1237380746217984,3,6,False
1835,1786204870,598.06,-0.21000000000003638,0.12576874722195783,3,2,False
1838,1786204876,598.04,-0.16000000000008185,0.12647353697735916,3,4,False
1841,1786204882,597.88,-0.22000000000002728,0.1389804142876237,3,0,False
1857,1786204914,597.85,-0.13999999999998636,0.10977249200050736,3,2,False
1858,1786204916,597.72,-0.12999999999999545,0.11568155523774565,3,9,False
1872,1786204944,597.71,-0.18999999999994088,0.13806600675843275,3,2,False
1874,1786204948,597.57,-0.14999999999997726,0.09718253158073539,3,1,False
1875,1786204950,597.41,-0.16000000000008185,0.0954579604968709,3,2,False
1878,1786204956,597.35,-0.2799999999999727,0.137921072437184,3,7,False
1880,1786204960,597.34,-0.12999999999999545,0.14433371824428815,3,6,False
1905,1786205010,597.34,-0.12999999999999545,0.14071642090071235,3,1,False
1916,1786205032,597.85,-0.13999999999998636,0.1360718764313599,3,2,False
1927,1786205054,597.56,-0.11000000000001364,0.14190763819390254,3,8,False
1930,1786205060,597.8,-0.10000000000002274,0.12712198865655178,3,9,False
1933,1786205066,597.6,-0.12000000000000455,0.1211243621700888,3,4,False
1934,1786205068,597.44,-0.15999999999996817,0.11883228143527098,3,5,False
1969,1786205138,596.42,-0.16000000000008185,0.14400617270725022,3,5,False
1988,1786205176,596.18,-0.11000000000001364,0.14088608479509934,3,8,False
2015,1786205230,595.78,-0.2300000000000182,0.1386001443000561,3,7,False
2019,1786205238,595.63,-0.15999999999996817,0.12129394965217158,3,6,False
2046,1786205292,597.24,-0.12999999999999545,0.1207200618510898,3,2,False
2068,1786205336,596.02,-0.11000000000001364,0.13283239230117025,3,8,False
2071,1786205342,595.62,-0.32000000000005,0.10011104945122666,3,4,False
2088,1786205376,596.02,-0.20000000000004547,0.11510864433223313,3,2,False
2089,1786205378,595.82,-0.1999999999999318,0.12413702106945664,3,0,False
2096,1786205392,595.8,-0.10000000000002274,0.12311241475441474,3,3,True
2098,1786205396,595.63,-0.20000000000004547,0.10898012051133482,3,6,False
2109,1786205418,596.32,-0.12999999999999545,0.1173977096123511,3,6,False
2156,1786205512,595.74,-0.2400000000000091,0.103408574757274,3,9,False
2157,1786205514,595.59,-0.14999999999997726,0.10801234497345365,3,2,False
2170,1786205540,595.66,-0.16000000000008185,0.1309834595156035,3,2,False
2176,1786205552,595.31,-0.13000000000010914,0.1359901957250156,3,5,False
2181,1786205562,595.23,-0.13999999999998636,0.14043187355833642,3,9,False
2182,1786205564,595.09,-0.13999999999998636,0.1426105808759335,3,6,False
2185,1786205570,594.88,-0.2300000000000182,0.09651712571124257,3,1,False
2187,1786205574,594.8,-0.21000000000003638,0.11900046685250015,3,5,False
2201,1786205602,594.87,-0.22000000000002728,0.13638589044000538,3,0,False
2220,1786205640,595.66,-0.12000000000000455,0.1432519148601878,3,5,False
2229,1786205658,595.29,-0.15000000000009095,0.11327939893124865,3,2,False
2240,1786205680,596.02,-0.13999999999998636,0.10519822558705638,3,1,False
2241,1786205682,595.91,-0.11000000000001364,0.11916841490558565,3,9,False
2264,1786205728,598.2,-0.14999999999997726,0.12851286144021273,3,0,False
2268,1786205736,598.25,-0.16999999999995907,0.1415823278363105,3,7,False
2279,1786205758,598.17,-0.17000000000007276,0.1310640216756009,3,5,False
2306,1786205812,597.86,-0.22000000000002728,0.13451146171734749,3,9,False
2313,1786205826,597.85,-0.15999999999996817,0.10562512327409815,3,1,False
2331,1786205862,597.22,-0.10000000000002274,0.12385026802106297,3,1,False
2332,1786205864,597.01,-0.21000000000003638,0.13846780612595538,3,9,False
2333,1786205866,596.89,-0.12000000000000455,0.11614645926589784,3,6,False
2342,1786205884,596.89,-0.21000000000003638,0.11103552984921856,3,6,False
2343,1786205886,596.76,-0.12999999999999545,0.11215564581819534,3,2,False
2386,1786205972,596.96,-0.14999999999997726,0.09055998625833027,3,6,False
2393,1786205986,596.73,-0.15999999999996817,0.0868267751841901,3,5,False
2394,1786205988,596.45,-0.2799999999999727,0.1162373051610679,3,7,False
2396,1786205992,596.22,-0.14999999999997726,0.10834102536792081,3,6,False
2398,1786205996,596.01,-0.14999999999997726,0.08999382694877629,3,0,False
2399,1786205998,595.7,-0.30999999999994543,0.09475699915510953,3,8,False
2400,1786206000,595.58,-0.12000000000000455,0.08745792639254385,3,3,True
2402,1786206004,595.51,-0.12000000000000455,0.10325803708290925,3,8,False
2404,1786206008,595.37,-0.11000000000001364,0.09354737361949943,3,9,False
2406,1786206012,595.22,-0.16999999999995907,0.10317191693692107,3,5,False
2411,1786206022,595.14,-0.22000000000002728,0.12059574342957537,3,4,False
2413,1786206026,595.13,-0.11000000000001364,0.12886254520051596,3,3,True
2417,1786206034,595.09,-0.18999999999994088,0.1368048082325776,3,6,False
2424,1786206048,595.32,-0.13999999999998636,0.1061916506447864,3,0,False
2426,1786206052,595.1,-0.1999999999999318,0.12117938952000569,3,6,False
2441,1786206082,595.37,-0.12000000000000455,0.10447753612885498,3,1,False
2442,1786206084,595.21,-0.15999999999996817,0.10822302075908814,3,5,False
2444,1786206088,595.22,-0.12999999999999545,0.11717034133639384,3,2,False
2445,1786206090,595.12,-0.10000000000002274,0.09746224340168412,3,5,False
2447,1786206094,595.02,-0.12999999999999545,0.10422198531126525,3,7,False
2465,1786206130,595.46,-0.2099999999999227,0.11489608831940926,3,3,True
2467,1786206134,595.41,-0.12000000000000455,0.11360751148870982,3,7,False
2481,1786206162,595.72,-0.17999999999994998,0.10788883167408075,3,4,False
2483,1786206166,595.71,-0.12999999999999545,0.12247902314726945,3,5,False
2484,1786206168,595.55,-0.16000000000008185,0.1320143089887576,3,3,True
2486,1786206172,595.42,-0.11000000000001364,0.12973905434457075,3,7,False
2492,1786206184,595.51,-0.11000000000001364,0.09695932709707727,3,3,True
2503,1786206206,596.03,-0.13999999999998636,0.10614455552059235,3,2,False
2516,1786206232,596.34,-0.2400000000000091,0.12771931029495345,3,3,True
2524,1786206248,595.72,-0.25,0.14142135623732738,3,1,False
2525,1786206250,595.61,-0.11000000000001364,0.13266917920570065,3,7,False
2538,1786206276,596.05,-0.2300000000000182,0.13674388062684006,3,1,False
2539,1786206278,595.91,-0.13999999999998636,0.14200547720265844,3,1,False
2562,1786206324,596.89,-0.12000000000000455,0.08569325138731845,3,7,False
2567,1786206334,597.17,-0.12000000000000455,0.10254538290706688,3,5,False
2568,1786206336,596.95,-0.2199999999999136,0.13004700005082556,3,4,False
2570,1786206340,596.92,-0.12000000000000455,0.13408537910183818,3,5,False
2574,1786206348,596.93,-0.18000000000006366,0.13333333333332012,3,0,False
2576,1786206352,596.78,-0.12000000000000455,0.12050357302216647,3,4,False
2592,1786206384,597.16,-0.21000000000003638,0.1225833050079162,3,4,False
2593,1786206386,597.04,-0.12000000000000455,0.12605554331324142,3,0,False
2596,1786206392,596.97,-0.12999999999999545,0.13492384683384656,3,2,False
2626,1786206452,597.7,-0.12999999999999545,0.1398610421493873,3,5,False
2641,1786206482,598.71,-0.2300000000000182,0.1313011804973611,3,2,False
2644,1786206488,598.58,-0.13999999999998636,0.12798003316491358,3,9,False
2646,1786206492,598.39,-0.3000000000000682,0.1376953158244911,3,8,False
2647,1786206494,598.28,-0.11000000000001364,0.12717442090821207,3,5,False
2656,1786206512,598.57,-0.17999999999994998,0.11573917035970377,3,6,False
2659,1786206518,598.75,-0.16999999999995907,0.13902837440206617,3,0,False
2670,1786206540,598.93,-0.16000000000008185,0.14220876672460792,3,6,False
2691,1786206582,599.7,-0.18999999999994088,0.12631530214328368,3,3,True
2698,1786206596,600.11,-0.10000000000002274,0.11471704319759017,3,7,False
2705,1786206610,600.42,-0.18000000000006366,0.1224563414264952,3,3,True
