group,observations,correct,probability,difference,p_value
ISOLATED H3 SIGNALS,3097,330,0.10655473038424282,0.006554730384242813,0.23082101157676568
CLUSTERED H3 SIGNALS,1796,203,0.11302895322939867,0.013028953229398663,0.07028431834886115
FIRST SIGNAL OF EACH H3 RUN,3895,424,0.10885750962772786,0.008857509627727855,0.06929918333552325
CONTINUATION SIGNALS,998,109,0.1092184368737475,0.009218436873747488,0.3419734180111008
