time,symbol,price,Last digit,price_delta,step_volatility,next_digit,h3_signal,target_digit,correct_prediction
1786202870,R_100,606.05,5,-0.11000000000001364,0.1214221286806378,3,1,3,1
1786202876,R_100,605.92,2,-0.13999999999998636,0.1293745638747446,4,1,3,0
1786202886,R_100,605.19,9,-0.2299999999999045,0.1181383369895839,8,1,3,0
1786202896,R_100,605.02,2,-0.19000000000005457,0.1351542328847471,7,1,3,0
1786202898,R_100,604.87,7,-0.14999999999997726,0.13638589043998792,6,1,3,0
1786202900,R_100,604.66,6,-0.21000000000003638,0.11264990013309839,1,1,3,0
1786202968,R_100,605.26,6,-0.12999999999999545,0.12979042936809396,0,1,3,0
1786202972,R_100,605.1,0,-0.10000000000002274,0.12249263016379362,2,1,3,0
1786202996,R_100,605.48,8,-0.10000000000002274,0.08994442728707736,6,1,3,0
1786202998,R_100,605.36,6,-0.12000000000000455,0.10178408520000078,7,1,3,0
1786203002,R_100,605.16,6,-0.11000000000001364,0.07242620765687778,2,1,3,0
1786203006,R_100,605.0,0,-0.12000000000000455,0.07334090869965552,5,1,3,0
1786203008,R_100,604.85,5,-0.14999999999997726,0.07242620765686922,9,1,3,0
1786203012,R_100,604.58,8,-0.30999999999994543,0.097273954490507,3,1,3,1
1786203016,R_100,604.33,3,-0.1999999999999318,0.09489760563654838,7,1,3,0
1786203020,R_100,603.9,0,-0.37000000000000455,0.12631970023183497,4,1,3,0
1786203030,R_100,603.48,8,-0.12000000000000455,0.1442567156148923,8,1,3,0
1786203032,R_100,603.28,8,-0.20000000000004547,0.1337493509849211,0,1,3,0
1786203040,R_100,602.97,7,-0.17999999999994998,0.13191327117130114,9,1,3,0
1786203062,R_100,603.36,6,-0.17999999999994998,0.12649549838276725,2,1,3,0
1786203110,R_100,603.27,7,-0.14999999999997726,0.06928203230275545,1,1,3,0
1786203118,R_100,603.01,1,-0.25,0.0994652368083109,2,1,3,0
1786203138,R_100,603.47,7,-0.13999999999998636,0.11087530533592711,9,1,3,0
1786203140,R_100,603.29,9,-0.18000000000006366,0.12875903420301568,3,1,3,1
1786203144,R_100,603.08,8,-0.14999999999997726,0.13737620689997632,1,1,3,0
1786203246,R_100,605.38,8,-0.10000000000002274,0.0984829370443884,7,1,3,0
1786203264,R_100,605.71,1,-0.13999999999998636,0.14353087163085188,6,1,3,0
1786203314,R_100,605.38,8,-0.13999999999998636,0.1003549256943021,9,1,3,0
1786203326,R_100,605.59,9,-0.18999999999994088,0.1375378735718357,5,1,3,0
1786203334,R_100,605.47,7,-0.10000000000002274,0.1448715906510768,2,1,3,0
1786203338,R_100,605.22,2,-0.1999999999999318,0.13424687043731834,3,1,3,1
1786203376,R_100,605.72,2,-0.14999999999997726,0.1319932658214844,0,1,3,0
1786203378,R_100,605.6,0,-0.12000000000000455,0.11881357947080451,3,1,3,1
1786203390,R_100,605.32,2,-0.18999999999994088,0.11939197814108074,2,1,3,0
1786203392,R_100,605.12,2,-0.20000000000004547,0.12615686884015714,3,1,3,1
1786203394,R_100,604.83,3,-0.2899999999999636,0.14206414826485156,2,1,3,0
1786203426,R_100,604.62,2,-0.13999999999998636,0.12865112168616993,4,1,3,0
1786203428,R_100,604.44,4,-0.17999999999994998,0.13513778976370683,0,1,3,0
1786203442,R_100,604.41,1,-0.13999999999998636,0.1440254607120793,1,1,3,0
1786203476,R_100,603.53,3,-0.2799999999999727,0.14014278433082675,8,1,3,0
1786203480,R_100,603.48,8,-0.10000000000002274,0.10956479564369455,7,1,3,0
1786203496,R_100,604.02,2,-0.19000000000005457,0.11957796155181757,4,1,3,0
1786203500,R_100,603.84,4,-0.1999999999999318,0.13647954669715662,7,1,3,0
1786203506,R_100,603.83,3,-0.15999999999996817,0.1419076381939114,2,1,3,0
1786203542,R_100,604.29,9,-0.16000000000008185,0.10687999501000381,3,1,3,1
1786203622,R_100,604.95,5,-0.12999999999999545,0.14151953143571208,1,1,3,0
1786203650,R_100,605.73,3,-0.17999999999994998,0.11390054140928967,0,1,3,0
1786203680,R_100,605.67,7,-0.13999999999998636,0.13393198937434972,4,1,3,0
1786203686,R_100,605.72,2,-0.12000000000000455,0.14087425440995424,2,1,3,0
1786203694,R_100,605.57,7,-0.13999999999998636,0.134581656336336,3,1,3,1
1786203722,R_100,605.5,0,-0.11000000000001364,0.13742068419435763,6,1,3,0
1786203736,R_100,604.76,6,-0.2300000000000182,0.14166078419156772,3,1,3,1
1786203756,R_100,604.51,1,-0.12000000000000455,0.13898441159593805,1,1,3,0
1786203758,R_100,604.41,1,-0.10000000000002274,0.14101221381301418,9,1,3,0
1786203760,R_100,604.29,9,-0.12000000000000455,0.12560962454279476,9,1,3,0
1786203766,R_100,604.05,5,-0.19000000000005457,0.07472170590488583,0,1,3,0
1786203770,R_100,603.5,0,-0.5,0.14425671561491338,3,1,3,1
1786203774,R_100,603.29,9,-0.13999999999998636,0.13937957765278255,5,1,3,0
1786203826,R_100,602.24,4,-0.13999999999998636,0.11806307165615534,9,1,3,0
